"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.010069000E0,2.061143517E-3,-1.692372417E-2,6.890358925E-3,1.838852355E-2
1.020023000E0,-1.349171922E-3,5.163054876E-3,-2.541199923E-3,5.910591982E-3
1.029977000E0,1.099459268E-2,2.075776175E-2,-3.547739625E-2,4.254892931E-2
1.039932000E0,9.649257995E-3,-1.477684585E-2,-1.841112792E-2,2.550358768E-2
1.049886000E0,9.733275175E-3,-6.063014455E-4,-1.511212885E-2,1.798556881E-2
1.059841000E0,2.259839214E-3,8.754469547E-3,-2.379173577E-2,2.545180350E-2
1.069795000E0,4.050804824E-3,-1.560987309E-3,-2.484014153E-2,2.521662810E-2
1.079750000E0,-1.363461055E-3,-1.511094114E-2,-2.678960323E-2,3.078769900E-2
1.089704000E0,-1.182909999E-2,-9.523031227E-3,-3.113116086E-2,3.463762270E-2
1.099658000E0,-2.921707481E-3,9.516526200E-4,-3.891146600E-2,3.903260437E-2
1.109613000E0,8.628151417E-3,1.698676446E-2,-4.130122304E-2,4.548391131E-2
1.119567000E0,1.987490527E-2,4.760638531E-3,-2.962608755E-2,3.599139622E-2
1.129522000E0,8.876877353E-3,4.667960163E-3,-2.573476553E-2,2.762004635E-2
1.139476000E0,9.262172319E-3,-1.822504029E-3,-2.827362657E-2,2.980783984E-2
1.149430000E0,1.338230319E-2,-5.721555334E-3,-2.603180408E-2,2.982410197E-2
1.159385000E0,1.989643034E-2,-7.123973463E-3,-2.034246325E-2,2.933316807E-2
1.169339000E0,7.224527299E-3,-2.849640548E-3,-2.423436999E-2,2.544835820E-2
1.179294000E0,1.414024852E-2,-3.636310324E-3,-1.794510484E-2,2.313430718E-2
1.189248000E0,1.442361921E-3,-1.326788049E-3,-3.590365827E-2,3.595710572E-2
1.199203000E0,7.422455549E-3,7.119734231E-3,-3.260816753E-2,3.419175415E-2
1.209157000E0,5.273055620E-3,1.485178158E-2,-2.437645733E-2,2.902743881E-2
1.219111000E0,-5.543525890E-3,3.260133360E-3,-2.662178814E-2,2.738756566E-2
