"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
1.289260333E0;2.432127424E-2;4.235856408E-2;1.802345753E-2;5.206358951E-2
1.299256333E0;1.289274506E-3;4.794623645E-2;3.355717063E-3;4.808081380E-2
1.309251333E0;4.104562663E-3;3.972340671E-2;1.383685112E-2;4.226410918E-2
1.319246333E0;2.526400985E-2;3.692545007E-2;1.714988351E-3;4.477387901E-2
1.329242333E0;3.529304450E-2;1.501048780E-2;5.011648536E-3;3.867855162E-2
1.339237333E0;4.706648631E-2;1.460389618E-2;2.163002014E-2;5.381807957E-2
1.349233333E0;7.191435713E-2;-9.242629828E-3;4.663388371E-2;8.620800472E-2
1.359228333E0;1.013780200E-1;-4.800774185E-3;1.760070384E-2;1.030064811E-1
1.369223333E0;1.229078152E-1;-5.786203612E-3;2.463607371E-2;1.254860443E-1
1.379219333E0;1.308901051E-1;4.629852762E-3;6.972804666E-3;1.311574442E-1
1.389214333E0;1.235619542E-1;1.377428591E-2;8.618795872E-3;1.246257241E-1
1.399210333E0;8.237974025E-2;2.455034805E-2;-1.877657890E-2;8.798693715E-2
1.409205333E0;5.491069056E-2;2.338835098E-2;3.525286317E-3;5.978818063E-2
1.419200333E0;8.549442412E-2;4.125124762E-2;1.582256556E-3;9.493927281E-2
1.429196333E0;4.847199250E-2;1.891223431E-2;9.829169512E-4;5.204010750E-2
1.439191333E0;2.447189486E-2;2.710455802E-2;5.627360344E-3;3.694858438E-2
1.449187333E0;1.128459631E-2;1.850508537E-2;9.063184261E-5;2.167460524E-2
1.459182333E0;3.644246092E-2;2.155422561E-2;2.637094259E-3;4.242159669E-2
1.469177333E0;5.458101723E-2;2.861408070E-3;1.521328568E-2;5.673375679E-2
1.479173333E0;7.601908425E-2;2.010674737E-2;4.287178516E-3;7.874999911E-2
1.489168333E0;9.359431615E-2;1.350153157E-2;1.297321737E-2;9.544889596E-2
1.499164333E0;1.051981704E-1;-1.429117064E-2;1.222535849E-2;1.068660470E-1
1.509159333E0;9.070973849E-2;-9.911277210E-3;1.193241298E-2;9.202647745E-2
1.519154333E0;9.132026089E-2;-1.309045404E-4;3.997741342E-3;9.140781762E-2
1.529150333E0;1.090259588E-1;6.591502251E-3;2.929455042E-2;1.130852699E-1
1.539145333E0;5.504250873E-2;9.123236993E-3;7.589101195E-3;5.630724356E-2
1.549141333E0;3.695562718E-2;1.899595913E-3;4.446222782E-3;3.727057475E-2
1.559136333E0;6.102099437E-2;1.484919601E-2;1.103720427E-2;6.376425530E-2
1.569131333E0;6.964061251E-2;8.342387024E-3;2.346370697E-2;7.395915005E-2
1.579127333E0;9.441007582E-2;1.487961981E-2;1.672771454E-2;9.702825329E-2
1.589122333E0;8.434228510E-2;2.756331777E-2;1.463616550E-2;8.993094508E-2
1.599118333E0;5.060629930E-2;1.807050934E-2;1.016246080E-3;5.374545184E-2
1.609113333E0;7.451271359E-2;5.645751664E-3;1.763812602E-2;7.677970101E-2
1.619108333E0;8.796045078E-2;-2.580385404E-3;3.570309877E-3;8.807068981E-2
1.629104333E0;8.677907567E-2;-7.294364981E-3;-2.565758228E-3;8.712289510E-2
1.639099333E0;7.367204843E-2;1.040052471E-2;-7.659852505E-4;7.440650756E-2
1.649095333E0;6.454595178E-2;1.472809469E-2;1.182307005E-3;6.621551567E-2
1.659090333E0;8.301270135E-2;6.954267165E-3;-3.451611400E-3;8.337496050E-2
1.669086333E0;9.398916766E-2;1.608950009E-2;4.101470947E-2;1.038029000E-1
1.679081333E0;5.233073456E-2;4.252224958E-2;8.686038852E-3;6.798598944E-2
1.689076333E0;4.436845310E-2;4.615332481E-2;2.096343756E-2;6.736582766E-2
1.699072333E0;4.787941374E-2;1.345670901E-2;2.515764534E-2;5.573534244E-2
1.709067333E0;4.697081124E-2;1.827887122E-2;2.680948377E-2;5.708872622E-2
